#station,latitude,longitude,elevevation
AC47,60.0814489236691,-152.623945193422,922.356033417482
AC48,60.6458645462988,-147.343021717668,379.523599636944
AC50,65.5538475112436,-164.56656969224,516.839732812761
AC51,61.4980811684199,-151.835349054053,957.457893519329
AC52,57.5672489479974,-157.574218586962,51.8311421924088
AC53,61.7689711892704,-150.06895490886,57.4878897498988
AC57,61.1385980768101,-145.742708115476,826.479836304847
AC58,57.1560867991308,-170.217820614157,19.3792855108704
AC59,59.5671955952289,-153.585201342893,308.631866217252
AC60,52.7146197360881,174.076265272565,18.3124940552511
AC61,64.0292584129666,-142.075848652505,745.40221441229
AC62,63.0836057078616,-146.312700675409,1347.15948606059
AC63,63.5024247827811,-145.847246610012,815.135581583131
AC64,62.7140161672723,-144.303992925661,774.571329816859
AC65,62.8315108577223,-143.704221638144,735.88768859445
AC66,51.3781285376036,179.301322163032,106.794482379423
AC67,57.7907175293976,-152.425436173372,347.325912221527
AC70,63.3047099160064,-148.188324267811,810.887954513016
AC71,64.0493037574231,-145.713624844853,364.014877460894
AC72,63.695057089622,-145.887697559356,558.860206572778
AC74,63.4643553739609,-148.807261700912,668.608961761276
AC75,62.9993032959017,-149.60882358935,608.660477207221
AC76,63.0399973390778,-143.258816360247,1585.31702281514
AC77,62.6880318261605,-145.426261160256,746.899090757711
AC78,63.113490289726,-142.027938786068,643.742235666457
AC79,59.9978711343156,-147.403049209812,287.756619593281
AC80,62.3940764051694,-151.765043011651,1114.51310008194
ACHO,7.41473107706935,-80.1731062878183,35.5994511437636
ACP1,9.37139302461282,-79.9498584730732,12.8289292462021
ACP6,9.23847687712837,-79.4078222552233,943.539499279006
ACSB,33.2742663550044,-117.444893461709,-12.2924430777856
ACSO,40.2323609314221,-82.9815330018656,248.175974172942
ACSX,33.2742663536509,-117.444893459962,-12.2923711433709
AGMT,34.5942818776877,-116.429381036296,1337.84666496551
AGPR,18.4675333159485,-67.1112346070067,73.0031660625472
AHID,42.7731185799173,-111.063742397619,1975.54634638449
AIRS,16.7408292171293,-62.2138551439437,84.4210039035856
ALAM,37.3579575372152,-115.158460655722,1090.0076210575
ALPA,11.52798487044,-72.9177566369122,1.81249589584582
ALUT,40.5839071970816,-111.620216489808,2824.0176499998
AMU2,-89.99889,-110.753967,2823
ANA1,34.0150081177313,-119.363474546142,22.4423055818352
AOPR,18.3465306347051,-66.7540916874749,319.575250357238
APEC,0.332829,-78.5461,1722
AR27,33.3418500033639,-117.324933072586,32.3165073567476
AR53,33.3811367548003,-117.476507604808,111.052401908617
ARML,35.9172821137822,-89.8028990524768,50.0490343966204
ARVL,-77.82944,166.66364,131.9
ASKY,75.7261291180263,-58.2573534819418,687.458894711734
AT01,63.4840456357794,-162.006401011775,21.6106757781207
ATQK,70.472033193,-157.4078686,28.0096
ATW2,61.5977533735469,-149.132295567083,97.1278909782264
AV01,59.358528101251,-153.460801870318,487.273535071938
AV02,59.3329718556422,-153.428391849624,229.867265828345
AV04,59.3625806832806,-153.444673683782,915.952434408577
AV06,54.1471776976308,-165.765721584752,463.136403208204
AV07,54.1629353809484,-166.038538127597,521.12632375706
AV08,54.1362976018656,-166.028272728303,598.457950758201
AV09,53.8756330258596,-166.541837372872,105.720000176225
AV10,54.0976077263694,-165.933765729366,329.591902291305
AV11,59.3706252583413,-153.354686563633,114.972523058179
AV12,54.2107979551244,-165.897546757699,404.771025592459
AV13,54.1530796865972,-165.897815947615,494.847631320335
AV14,54.118893084567,-165.841569271912,396.39980289047
AV15,54.100192193232,-165.710113955109,457.471945582294
AV16,59.3859085135281,-153.535045951639,25.4343837064491
AV17,59.4039441689988,-153.451446130924,29.4469116825092
AV18,59.3804313563546,-153.43683474166,367.177973502883
AV19,59.3549052925475,-153.414328863252,647.443226476136
AV20,59.3473790992278,-153.428206488841,542.237772322126
AV24,54.5899832526748,-164.754804758601,481.804058711715
AV25,54.5300017384426,-164.779499670466,652.027363016917
AV26,54.5716534926032,-164.580464875903,577.696577499522
AV27,54.4923491265334,-164.723164413777,978.007367420345
AV29,54.4723515347736,-164.586150014475,971.971929632872
